Helpfulness Score [0-100],Mean Review Word Count
100.0,149.531570007
99.8862343572,296.0
99.8585572843,386.0
99.8571428571,294.0
99.8529411765,336.0
99.8480243161,752.0
99.8449612403,773.0
99.8310810811,226.0
99.8178506375,67.0
99.8158379374,67.0
99.814471243,389.0
99.8134328358,888.0
99.8080614203,312.0
99.8065764023,343.5
99.8005982054,1034.0
99.7983870968,271.0
99.797979798,1143.0
99.7971602434,391.0
99.7967479675,622.0
99.7899159664,1418.0
99.7867803838,566.0
99.7840172786,402.0
99.7835497835,784.0
99.7772828508,381.0
99.7679814385,949.0
99.7658079625,191.0
99.7635933806,242.0
99.7601918465,739.0
99.7557997558,768.0
99.7555012225,216.0
99.7547015536,169.0
99.7530864198,112.0
99.7493734336,213.0
99.7487437186,578.0
99.7481108312,953.0
99.7435897436,181.0
99.7429305913,426.5
99.7422680412,268.0
99.7416020672,181.0
99.7402597403,328.0
99.7399219766,847.0
99.7354497354,586.666666667
99.7347480106,119.0
99.7295303664,104.0
99.72899729,356.0
99.7267759563,235.0
99.7237569061,173.0
99.7183098592,205.0
99.7159090909,981.0
99.7101449275,105.0
99.7093023256,198.0
99.7084548105,517.0
99.7076023392,126.0
99.706744868,166.0
99.7041420118,318.0
99.703264095,1141.0
99.7014925373,1152.0
99.6996996997,1313.0
99.6978851964,404.0
99.6960486322,193.0
99.6951219512,705.0
99.6946564885,152.0
99.6941896024,223.0
99.6932515337,848.0
99.6904024768,124.0
99.6894409938,793.5
99.6884735202,426.333333333
99.6865203762,326.0
99.6855345912,190.0
99.6845425868,446.5
99.6835443038,264.0
99.6805111821,113.0
99.6784565916,256.5
99.6763754045,303.25
99.674267101,294.666666667
99.6732026144,683.0
99.6710526316,259.0
99.6699669967,687.5
99.6677740864,367.0
99.6655518395,664.0
99.6644295302,647.666666667
99.6632996633,102.0
99.6621621622,262.0
99.6604414261,823.0
99.6602491506,435.0
99.6598639456,231.666666667
99.6575342466,312.0
99.6563573883,503.0
99.6551724138,909.333333333
99.6539792388,262.333333333
99.6527777778,252.0
99.6515679443,337.0
99.6503496503,249.333333333
99.6478873239,414.833333333
99.6466431095,354.5
99.6453900709,148.333333333
99.6441281139,113.0
99.6428571429,495.25
99.6415770609,396.5
99.6402877698,317.2
99.6396396396,579.0
99.6389891697,411.0
99.6381182147,147.0
99.6376811594,446.333333333
99.6363636364,133.0
99.635701275,804.0
99.6350364964,484.0
99.6336996337,267.0
99.63099631,414.0
99.6308016878,1362.0
99.6296296296,493.0
99.6285979573,122.0
99.6282527881,977.0
99.6268656716,372.0
99.6254681648,590.0
99.6240601504,320.25
99.6226415094,452.0
