Product Price,Average Review Score
0.01,3.89473684211
0.01,3.18518518519
0.01,4.40909090909
0.01,1.0
0.01,5.0
0.01,3.0
0.10,4.35483870968
0.11,2.0
0.24,3.66666666667
0.28,5.0
0.40,3.33333333333
0.41,5.0
0.47,4.75
0.49,5.0
0.49,3.0
0.49,4.0
0.50,3.96
0.53,4.0
0.53,4.52173913043
0.55,3.83333333333
0.66,5.0
0.67,4.2
0.70,3.44444444444
0.73,4.5
0.74,4.83333333333
0.74,3.0
0.74,5.0
0.75,3.0
0.76,4.8
0.78,4.0
0.80,4.34782608696
0.81,3.0
0.83,4.0
0.85,4.0
0.86,4.30405405405
0.88,5.0
0.90,5.0
0.94,5.0
0.94,2.5
0.95,5.0
0.95,4.4
0.95,5.0
0.97,4.4
0.97,4.66666666667
0.98,2.0
0.98,2.5
0.98,1.66666666667
0.99,5.0
0.99,4.0
0.99,5.0
0.99,5.0
0.99,5.0
0.99,5.0
0.99,3.35714285714
0.99,5.0
0.99,4.0
0.99,4.6
1.00,4.66666666667
1.00,4.0
1.00,5.0
1.00,4.6
1.00,4.3
1.01,1.16666666667
1.05,3.33333333333
1.05,5.0
1.07,4.23529411765
1.09,4.0
1.11,3.0
1.12,4.4
1.13,4.5
1.17,5.0
1.21,4.66666666667
1.24,3.28571428571
1.25,4.46153846154
1.25,4.5
1.26,5.0
1.27,5.0
1.27,4.0
1.28,4.42857142857
1.29,3.66666666667
1.30,3.0
1.33,5.0
1.33,3.6380952381
1.36,3.85714285714
1.38,3.85393258427
1.39,3.6
1.39,5.0
1.44,4.66666666667
1.45,4.8
1.45,3.0
1.45,2.75
1.47,5.0
1.48,5.0
1.49,5.0
1.49,2.7
1.49,2.5
1.50,4.25
1.50,2.75
1.50,3.0
1.50,4.10638297872
1.50,3.5
1.50,4.5
1.50,4.09090909091
1.59,4.66666666667
1.60,1.0
1.60,5.0
1.63,5.0
1.64,4.36363636364
1.64,5.0
1.65,4.58823529412
1.65,4.0
1.68,4.38461538462
1.69,3.75
1.69,4.0
1.69,2.0
1.69,4.0
1.69,2.5
1.69,4.5
1.69,3.0
1.70,4.74468085106
1.73,1.6
1.74,4.0
1.74,5.0
1.74,3.0
1.74,4.66666666667
1.75,1.5
1.75,4.91489361702
1.75,5.0
1.75,3.3
1.75,4.0
1.75,4.125
1.75,3.0
1.75,4.08333333333
1.75,5.0
1.75,5.0
1.75,4.5
1.75,5.0
1.75,4.0
1.77,3.11111111111
1.77,3.66666666667
1.78,4.42857142857
1.79,4.5
1.80,4.88888888889
1.83,4.0
1.83,1.5
1.86,3.8
1.87,5.0
1.88,3.57142857143
1.88,3.71428571429
1.88,4.0
1.89,3.5
1.89,4.5
1.90,5.0
1.90,3.85714285714
1.92,4.3
1.92,4.19653179191
1.92,5.0
1.93,5.0
1.93,4.0
1.94,5.0
1.94,5.0
1.94,4.55555555556
1.94,4.38095238095
1.95,5.0
1.95,5.0
1.95,2.53846153846
1.95,2.0
1.95,3.0
1.95,4.0
1.96,4.0
1.96,2.25
1.96,5.0
1.97,4.2
1.97,5.0
1.97,3.0
1.98,1.41818181818
1.98,4.66666666667
1.98,5.0
1.98,1.0
1.98,2.5
1.99,4.45833333333
1.99,4.0612244898
1.99,3.96629213483
1.99,2.0
1.99,3.75
1.99,4.72727272727
1.99,4.83333333333
1.99,5.0
1.99,4.72727272727
1.99,4.19164619165
1.99,4.94736842105
1.99,4.8
1.99,4.0
1.99,5.0
1.99,5.0
1.99,5.0
1.99,3.0
1.99,4.38888888889
1.99,1.0
1.99,5.0
1.99,5.0
1.99,4.2
1.99,4.28571428571
1.99,1.0
1.99,2.85185185185
1.99,2.8
1.99,4.5
1.99,5.0
1.99,1.0
1.99,3.27272727273
1.99,3.66363636364
1.99,1.8
1.99,2.0
1.99,3.625
1.99,3.0
1.99,4.16
1.99,4.44444444444
1.99,4.33333333333
1.99,3.0
1.99,4.66666666667
1.99,4.29310344828
1.99,4.5
1.99,3.0
1.99,3.5
1.99,1.0
1.99,1.83333333333
1.99,4.5737704918
1.99,3.75
1.99,3.5
1.99,5.0
1.99,5.0
1.99,4.70661157025
1.99,4.2
10.00,4.92307692308
10.00,5.0
10.00,4.5
10.00,4.2
10.00,2.0
10.00,5.0
10.00,4.0
10.00,3.33333333333
10.00,4.54545454545
10.00,3.66666666667
10.00,4.5
10.00,4.66666666667
10.00,3.5
10.00,4.8
10.00,4.67632850242
10.00,5.0
10.00,4.0
10.00,4.4375
10.00,5.0
10.00,3.96153846154
10.00,4.0
10.00,5.0
10.00,5.0
10.00,3.0
10.00,5.0
10.00,4.4375
10.00,5.0
10.00,4.71428571429
10.00,3.0
10.00,4.0
10.00,5.0
10.00,5.0
10.00,4.0
10.00,5.0
10.00,1.0
10.00,4.0
10.00,4.0
10.00,4.0
10.00,2.84210526316
10.00,5.0
10.00,4.51612903226
10.00,5.0
10.00,5.0
10.00,4.5
10.00,4.625
10.00,5.0
10.00,4.42857142857
10.00,4.13479262673
10.00,3.41666666667
10.00,4.66666666667
10.00,4.0
10.00,3.0
10.00,4.25
10.00,1.0
10.00,4.33333333333
10.00,2.83333333333
10.00,5.0
10.00,5.0
10.00,4.57142857143
10.00,4.36842105263
10.00,4.0
10.00,3.46428571429
10.00,4.0
10.00,5.0
10.00,4.33333333333
10.00,4.59322033898
10.00,4.2
10.00,5.0
10.00,5.0
10.00,5.0
10.00,5.0
10.00,3.75
10.00,5.0
10.00,4.5
10.00,4.59016393443
10.00,4.66666666667
10.00,5.0
10.00,4.8
10.00,4.6
10.00,4.27777777778
10.00,4.6
10.00,2.0
10.00,4.41666666667
10.00,2.5
10.00,4.4
10.00,3.65384615385
10.00,4.0
10.00,4.57894736842
10.00,4.5
10.00,5.0
10.00,4.77777777778
10.00,3.0
10.00,4.5
10.00,4.70833333333
10.00,3.66666666667
10.00,4.0
10.00,3.72727272727
10.00,4.0
10.00,3.0
10.00,2.0
10.00,3.09090909091
10.00,3.8
10.00,3.33333333333
10.00,4.85
10.00,4.5641025641
10.00,4.0
10.00,4.44444444444
10.00,2.0
10.00,3.35714285714
10.00,4.18181818182
10.00,4.8
10.00,5.0
10.00,5.0
10.00,3.47619047619
10.00,5.0
10.00,4.58333333333
10.00,2.0
10.00,5.0
10.00,3.5625
10.00,3.0
10.00,3.33333333333
10.00,4.64705882353
10.00,5.0
10.00,4.625
10.00,5.0
10.00,1.0
10.00,4.38888888889
10.00,5.0
10.00,5.0
10.00,4.8
10.00,4.0
10.00,4.0
10.00,4.33333333333
10.00,3.0
10.00,4.3
10.00,5.0
10.00,2.87096774194
10.00,4.5
10.00,2.4
10.00,4.84615384615
10.00,3.5
10.00,5.0
10.00,3.5
10.00,4.0
10.00,3.0
10.00,4.69230769231
10.00,5.0
10.00,3.33333333333
10.00,4.0
10.00,4.0
10.00,5.0
10.00,4.50442477876
10.00,4.0
10.00,4.66666666667
10.00,4.5
10.00,4.5
10.00,4.66666666667
10.00,4.0
10.00,5.0
10.00,5.0
10.00,3.0
10.00,4.75
10.00,5.0
10.00,4.0
10.00,4.0
10.00,5.0
10.00,4.76744186047
10.00,5.0
10.00,5.0
10.00,5.0
10.00,4.75
10.00,4.0
10.00,4.33333333333
10.00,4.75
10.00,5.0
10.00,5.0
10.00,5.0
10.00,3.92307692308
10.00,4.40178571429
10.00,3.0
10.00,4.25
10.00,4.55882352941
10.00,5.0
10.00,4.80952380952
10.01,5.0
10.01,4.18367346939
10.01,4.5
10.01,4.0
10.01,4.71264367816
10.01,5.0
10.01,5.0
10.01,4.0
10.01,3.89655172414
10.01,3.82608695652
10.01,4.6
10.01,3.0
10.01,4.5
10.01,2.0
10.01,3.5
10.01,4.84615384615
10.01,5.0
10.01,5.0
10.01,3.5
10.01,5.0
10.01,5.0
10.01,5.0
10.01,4.0
10.01,4.0
10.01,4.5
10.01,4.75
10.01,4.11627906977
10.01,4.23282442748
10.01,5.0
10.01,5.0
10.01,5.0
10.01,5.0
10.01,4.5
10.01,4.0
10.01,4.25
10.01,1.0
10.01,5.0
10.01,4.77981651376
10.01,4.0
10.01,4.0
10.01,5.0
10.01,5.0
10.01,3.0
10.01,4.0
10.01,3.0
10.01,5.0
10.01,5.0
10.01,4.6
10.01,5.0
10.01,5.0
10.01,4.25714285714
10.01,4.5
10.01,4.83783783784
10.01,4.66666666667
10.01,3.66666666667
10.01,4.0
10.01,4.0
10.02,4.5
10.02,5.0
10.02,4.63636363636
10.02,4.0
10.02,3.66315789474
10.02,5.0
10.02,4.66666666667
10.02,4.37931034483
10.02,3.59375
10.02,4.5
10.02,4.0
10.02,2.15
10.02,5.0
10.02,4.16666666667
10.02,4.0
10.02,4.0
10.02,4.0
10.02,4.0
10.02,3.0
10.02,5.0
10.02,2.66666666667
10.02,4.0
10.02,5.0
10.02,4.33333333333
10.02,4.6
10.02,3.95652173913
10.02,4.0
10.02,2.5
10.02,4.16363636364
10.02,4.1
10.02,4.33333333333
10.02,4.71428571429
10.02,5.0
10.02,3.95238095238
10.02,3.69230769231
10.02,3.42105263158
10.02,4.66666666667
10.02,4.05882352941
10.03,4.0
10.03,4.5
10.03,5.0
10.03,4.33333333333
10.03,4.14285714286
10.03,5.0
10.03,3.33333333333
10.03,4.5
10.03,5.0
10.03,4.57142857143
10.03,3.0
10.03,4.5
10.03,4.85714285714
10.03,4.5
10.03,4.66666666667
10.03,3.33333333333
10.03,4.28571428571
10.03,5.0
10.03,4.0
10.03,4.42857142857
10.03,4.6
10.03,4.0
10.03,4.0
10.03,1.0
10.03,4.0
10.03,5.0
10.03,4.23076923077
10.03,5.0
10.03,4.0
10.03,4.8125
10.03,4.25
10.03,4.33333333333
10.03,4.5
10.03,4.875
10.03,1.0
10.03,4.14285714286
10.03,4.5
10.03,4.16666666667
10.03,5.0
10.03,4.39325842697
10.03,3.67845659164
10.03,4.33333333333
10.03,3.95238095238
10.03,5.0
10.03,4.23529411765
10.03,5.0
10.03,4.66666666667
10.03,4.66666666667
10.03,4.63636363636
10.03,4.675
10.03,3.8
10.03,4.44444444444
10.03,3.61764705882
10.03,4.0
10.03,3.625
10.03,5.0
10.03,5.0
10.03,4.66666666667
10.03,4.375
10.03,5.0
10.03,4.25
10.03,3.85
10.03,3.4
10.03,4.625
10.03,2.0
10.03,3.89285714286
10.03,5.0
10.03,4.33333333333
10.03,4.375
10.03,5.0
10.03,4.5
10.03,4.1875
10.03,5.0
10.03,4.0
10.03,5.0
10.03,4.0
10.03,5.0
10.04,4.0
10.04,5.0
10.04,4.2
10.04,4.57142857143
10.04,5.0
10.04,3.125
10.04,3.0
10.04,5.0
10.04,4.85714285714
10.04,5.0
10.04,5.0
10.04,4.5
10.04,5.0
10.04,2.0
10.04,4.33333333333
10.04,5.0
10.04,5.0
10.04,4.32258064516
10.04,4.5
10.04,4.85714285714
10.04,4.2012195122
